sample_time,computation_time,detection,fpic_rank,fpim_rank,fwaf_rank,fiml_rank,fx_rank
0.000000,0.005513,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.049868,0.005000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.100047,0.005998,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.150336,0.004000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.199955,0.005006,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.250041,0.005000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.299870,0.005501,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.350107,0.005006,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.399863,0.004001,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.450029,0.002998,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.499902,0.004513,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.550111,0.003997,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.599882,0.004001,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.649994,0.002999,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.699874,0.003000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.750060,0.005006,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.800024,0.004996,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.850032,0.005512,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.900016,0.005515,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.949930,0.003999,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.000039,0.002999,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.049846,0.004512,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.100027,0.005002,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.149924,0.004996,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.200027,0.005000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.249883,0.006007,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.300030,0.004999,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.349904,0.005000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.400027,0.004506,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.449860,0.004006,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.500038,0.004000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.550061,0.004003,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.600027,0.004996,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.650016,0.004002,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.699868,0.003503,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.750093,0.004008,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.799857,0.006000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.849978,0.005000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.899844,0.005508,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.950085,0.005002,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.999865,0.005513,0,0.000000,0.000000,0.000000,0.000000,0.000000 
