sample_time,computation_time,detection,fpic_rank,fpim_rank,fwaf_rank,fiml_rank,fx_rank
0.000000,0.005508,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.049688,0.004010,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.099805,0.004001,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.149772,0.004000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.199826,0.004011,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.249825,0.005000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.299706,0.004000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.349836,0.003510,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.399707,0.004523,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.449842,0.003581,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.499684,0.004012,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.549814,0.003999,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.599680,0.003522,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.649838,0.004000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.699674,0.004000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.749835,0.005000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.799886,0.004010,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.849819,0.004000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.899849,0.004000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.949688,0.004000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
0.999876,0.004519,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.049702,0.005519,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.099846,0.004000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.149728,0.004522,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.199918,0.004000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.249721,0.003995,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.299856,0.004000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.349740,0.004000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.399911,0.004006,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.449845,0.005003,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.499733,0.006000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.549885,0.004521,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.599764,0.006510,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.649856,0.005000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.699725,0.006004,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.749849,0.004003,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.799721,0.004510,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.849908,0.004012,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.899731,0.004996,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.949900,0.005005,0,0.000000,0.000000,0.000000,0.000000,0.000000 
1.999928,0.005000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.049765,0.005000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.099904,0.006512,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.149792,0.005000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.199913,0.004001,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.249766,0.004000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.300121,0.004514,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.349772,0.004000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.399967,0.005006,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.449956,0.004000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.499795,0.004000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.549905,0.003999,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.599915,0.003512,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.649793,0.004513,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.699802,0.003998,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.749929,0.005003,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.799968,0.005000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.849782,0.006517,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.899958,0.003999,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.949954,0.004000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
2.999789,0.004000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.049945,0.005006,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.099930,0.003999,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.150215,0.003999,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.199997,0.003503,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.249932,0.004006,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.299807,0.004000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.349947,0.004000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.399860,0.004512,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.449960,0.004001,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.499954,0.004000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.549832,0.004000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.600023,0.004007,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.649832,0.005000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.699985,0.005000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.749869,0.004517,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.800004,0.005516,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.850022,0.006000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.899988,0.004516,0,0.000000,0.000000,0.000000,0.000000,0.000000 
3.949855,0.004998,0,0.000000,0.000000,0.000000,0.000000,0.000000 
4.000023,0.005001,0,0.000000,0.000000,0.000000,0.000000,0.000000 
4.049996,0.005999,0,0.000000,0.000000,0.000000,0.000000,0.000000 
4.100123,0.005003,0,0.000000,0.000000,0.000000,0.000000,0.000000 
4.149974,0.005008,0,0.000000,0.000000,0.000000,0.000000,0.000000 
4.199883,0.006000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
4.249989,0.005516,0,0.000000,0.000000,0.000000,0.000000,0.000000 
4.299856,0.005000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
4.350216,0.004999,0,0.000000,0.000000,0.000000,0.000000,0.000000 
4.399890,0.005003,0,0.000000,0.000000,0.000000,0.000000,0.000000 
4.450039,0.004000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
4.499873,0.003521,0,0.000000,0.000000,0.000000,0.000000,0.000000 
4.550000,0.004000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
4.600244,0.004010,0,0.000000,0.000000,0.000000,0.000000,0.000000 
4.650009,0.004000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
4.699889,0.005000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
4.750044,0.003997,0,0.000000,0.000000,0.000000,0.000000,0.000000 
4.800071,0.006030,0,0.000000,0.000000,0.000000,0.000000,0.000000 
4.850290,0.005001,0,0.000000,0.000000,0.000000,0.000000,0.000000 
4.900047,0.005000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
4.949907,0.005000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
5.000082,0.004516,0,0.000000,0.000000,0.000000,0.000000,0.000000 
5.049926,0.005997,0,0.000000,0.000000,0.000000,0.000000,0.000000 
5.100293,0.005000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
5.149912,0.006006,0,0.000000,0.000000,0.000000,0.000000,0.000000 
5.200078,0.005001,0,0.000000,0.000000,0.000000,0.000000,0.000000 
5.249905,0.004001,0,0.000000,0.000000,0.000000,0.000000,0.000000 
5.300080,0.004512,0,0.000000,0.000000,0.000000,0.000000,0.000000 
5.350492,0.004000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
5.400094,0.003997,0,0.000000,0.000000,0.000000,0.000000,0.000000 
5.449926,0.004001,0,0.000000,0.000000,0.000000,0.000000,0.000000 
5.500086,0.003506,0,0.000000,0.000000,0.000000,0.000000,0.000000 
5.550074,0.005003,0,0.000000,0.000000,0.000000,0.000000,0.000000 
5.600378,0.004997,0,0.000000,0.000000,0.000000,0.000000,0.000000 
5.650076,0.006004,0,0.000000,0.000000,0.000000,0.000000,0.000000 
5.699916,0.006000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
5.750068,0.005001,0,0.000000,0.000000,0.000000,0.000000,0.000000 
5.799936,0.006013,0,0.000000,0.000000,0.000000,0.000000,0.000000 
5.850089,0.005007,0,0.000000,0.000000,0.000000,0.000000,0.000000 
5.899975,0.004000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
5.950098,0.003000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
5.999972,0.005513,0,0.000000,0.000000,0.000000,0.000000,0.000000 
6.050118,0.004001,0,0.000000,0.000000,0.000000,0.000000,0.000000 
6.099943,0.003999,0,0.000000,0.000000,0.000000,0.000000,0.000000 
6.150072,0.004001,0,0.000000,0.000000,0.000000,0.000000,0.000000 
6.199985,0.004000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
6.250123,0.004008,0,0.000000,0.000000,0.000000,0.000000,0.000000 
6.300098,0.004000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
6.350076,0.004000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
6.400138,0.004506,0,0.000000,0.000000,0.000000,0.000000,0.000000 
6.449978,0.004008,0,0.000000,0.000000,0.000000,0.000000,0.000000 
6.500133,0.004000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
6.549978,0.004514,0,0.000000,0.000000,0.000000,0.000000,0.000000 
6.600153,0.004003,0,0.000000,0.000000,0.000000,0.000000,0.000000 
6.649965,0.006999,0,0.000000,0.000000,0.000000,0.000000,0.000000 
6.700131,0.004999,0,0.000000,0.000000,0.000000,0.000000,0.000000 
6.749986,0.005008,0,0.000000,0.000000,0.000000,0.000000,0.000000 
6.800173,0.005000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
6.849976,0.005000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
6.900162,0.006031,0,0.000000,0.000000,0.000000,0.000000,0.000000 
6.949981,0.005000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
7.000183,0.006000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
7.050172,0.005001,0,0.000000,0.000000,0.000000,0.000000,0.000000 
7.100459,0.005000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
7.150145,0.005516,0,0.000000,0.000000,0.000000,0.000000,0.000000 
7.200019,0.005000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
7.250146,0.005008,0,0.000000,0.000000,0.000000,0.000000,0.000000 
7.300015,0.006000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
7.350147,0.005507,0,0.000000,0.000000,0.000000,0.000000,0.000000 
7.400040,0.005009,0,0.000000,0.000000,0.000000,0.000000,0.000000 
7.450175,0.005999,0,0.000000,0.000000,0.000000,0.000000,0.000000 
7.500042,0.004999,0,0.000000,0.000000,0.000000,0.000000,0.000000 
7.550138,0.005516,0,0.000000,0.000000,0.000000,0.000000,0.000000 
7.600059,0.005004,0,0.000000,0.000000,0.000000,0.000000,0.000000 
7.650187,0.004000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
7.700177,0.004010,0,0.000000,0.000000,0.000000,0.000000,0.000000 
7.750477,0.004000,0,0.000000,0.000000,0.000000,0.000000,0.000000 
7.800219,0.004994,0,0.000000,0.000000,0.000000,0.000000,0.000000 
7.850036,0.005510,0,0.000000,0.000000,0.000000,0.000000,0.000000 
7.900209,0.005507,0,0.000000,0.000000,0.000000,0.000000,0.000000 
7.950036,0.005999,0,0.000000,0.000000,0.000000,0.000000,0.000000 
